place_id,name,lat,lon,rating,user_ratings_total,address,types
ChIJC9c7Al0TVo8RMOV8TK2KJkE,Uman Yucatán,20.8908895,-89.7329958,4.6,122,"San Lorenzo, Umán, 97390 Uman, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJsaescYgSVo8Rf35zX2Lta8w,BOSQUES DE SAN FRANCISCO Park,20.8903002,-89.7363452,4.0,125,"Por 22A y 22C, Calle 15-B, Bosques De San Francisco, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJxXVBDF4TVo8Ruu3jv6y2YOU,brisas de Uman Park,20.888372999999998,-89.73598609999999,3.9,23,"C. 6ꞌ 84, Umán, 97390 Umán, Yuc., Mexico","state_park,park,point_of_interest,establishment"
ChIJHTDxWt8TVo8R_M6v9cmADIc,ENTRADA SAN LORENZO Park,20.8940119,-89.73272159999999,,0,"San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ1WAk4QATVo8RF-7sqXH_L6Q,tortugas Park,20.89238,-89.73363789999999,,0,"San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJVVWVxoUSVo8REQ5HMdG2c5E,Familiar de San Lorenzo Park,20.8928032,-89.7323473,,0,"C. 33, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJpVKKEwATVo8RgqV0i3fbKiA,Barrio 27,20.8948738,-89.7313018,,0,"C. 27-A 113, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJySxFXAATVo8RVrNA-y6Y4M8,Fraccionamiento arcos 1,20.889912499999998,-89.7394247,,0,"C. 15-A 128-122, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJgZHxZIUSVo8RIjJ1RTLjikA,El Tamarindo,20.8913366,-89.73025059999999,4.0,7,"C. 20 167, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJbUnGPOQTVo8RsbPwc6FFRJ0,Esquina,20.8889873,-89.7323655,5.0,1,"C. 55 176, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ9YVqa6ITVo8RIPk0UDlOI2c,DIAGONAL Park,20.890860099999998,-89.7323534,,0,"San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJOfgl54gNVo8REW8JJlwXXbs,parque,20.905977699999998,-89.73895879999999,,0,"97390 Hunxectamán, Yuc., Mexico","park,point_of_interest,establishment"
